property_url,property_code,property_type,price_eur,cadastral_income_eur,postal_code,locality_name,state_of_the_property,currently_leased,build_year,bedrooms,bathrooms,toilets,livable_surface_m2,total_land_surface_m2,terrace_m2,garden_m2,heating_type,epc_kwh_m2_year,swimming_pool
https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbv08313,RBV08313,apartment,244000,,2300,Turnhout,New,No,2024,1,1,1,83,,9,,Not specified,,
https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbv08282,RBV08282,apartment,202000,,2300,Turnhout,New,No,2024,1,1,1,65,,6,,Not specified,,
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbv07675,RBV07675,apartment,250000,462,2610,Wilrijk,Normal,No,1951,2,,,85,,,,Gas,199,
https://immovlan.be/en/detail/master-house/for-sale/2000/antwerp/rbv07668,RBV07668,house,475000,,2000,Antwerp,Normal,No,,2,1,1,142,49,12,,Gas,844,
https://immovlan.be/en/detail/apartment/for-sale/2200/herentals/rbv07596,RBV07596,apartment,235000,,2200,Herentals,Normal,No,1963,1,1,,73,,3,,Gas,283,
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbv07563,RBV07563,house,590000,,2060,Antwerp,,No,1948,8,4,,323,116,,,,1,
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbv06453,RBV06453,house,545000,,2200,Herentals,New,No,1961,4,1,,206,264,,,,90,
https://immovlan.be/en/detail/residence/for-sale/2260/westerlo/rbv06313,RBV06313,house,495000,,2260,Westerlo,New,No,2024,4,1,2,183,430,16,,,,
https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbv04090,RBV04090,house,379000,,2610,Wilrijk,Normal,No,,2,1,,88,240,,,Gas,282,
https://immovlan.be/en/detail/residence/for-sale/2260/zoerle-parwijs/rbv03351,RBV03351,house,410000,,2260,Zoerle-Parwijs,New,No,2024,3,1,2,150,767,20,,,,
https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbv02888,RBV02888,house,245000,,2800,Mechelen,To be renovated,No,1850,3,1,1,83,,,,Electricity,227,
https://immovlan.be/en/detail/residence/for-sale/2500/lier/rbv02756,RBV02756,house,305000,406,2500,Lier,Normal,No,1899,3,1,1,107,145,8,100,Gas,279,
https://immovlan.be/en/detail/residence/for-sale/3090/overijse/vbd77780,VBD77780,house,400000,,3090,Overijse,,No,1964,3,1,2,189,963,,,Fuel oil,498,No
https://immovlan.be/en/detail/residence/for-sale/1640/sint-genesius-rode/rbv09033,RBV09033,house,790000,,1640,Sint-Genesius-Rode,To be renovated,No,1963,3,2,,244,697,,,Gas,235,
https://immovlan.be/en/detail/villa/for-sale/1640/sint-genesius-rode/rbv09028,RBV09028,house,1150000,,1640,Sint-Genesius-Rode,Normal,No,,5,4,5,,1582,,,Fuel oil,356,Yes
https://immovlan.be/en/detail/residence/for-sale/1982/weerde/rbv08205,RBV08205,house,989000,,1982,Weerde,Normal,,1985,7,3,4,438,1832,,,,138,
https://immovlan.be/en/detail/residence/for-sale/1980/zemst/rbv08204,RBV08204,house,549000,,1980,Zemst,Normal,,1963,3,1,2,190,1228,,,Gas,298,
https://immovlan.be/en/detail/residence/for-sale/1933/sterrebeek/rbv08178,RBV08178,house,259000,956,1933,Sterrebeek,To be renovated,,,3,1,1,78,,,26,Gas,861,
https://immovlan.be/en/detail/residence/for-sale/1853/strombeek-bever/vbd74716,VBD74716,house,495000,1246,1853,Strombeek-Bever,,No,1970,4,1,2,170,,,,Gas,530,
https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv04931,RBV04931,house,420000,,1500,Halle,New,No,,4,1,2,171,,,,,,
https://immovlan.be/en/detail/residence/for-sale/1730/asse/vbd65753,VBD65753,house,399000,,1730,Asse,To renovate,,1978,3,1,2,210,1000,7,,Gas,304,
https://immovlan.be/en/detail/residence/for-sale/3070/kortenberg/rbv00846,RBV00846,house,489000,,3070,Kortenberg,Normal,No,,5,1,2,211,,,,,,
https://immovlan.be/en/detail/loft/for-sale/1601/ruisbroek/vbd57623,VBD57623,loft,425000,1726,1601,Ruisbroek,Excellent,No,1925,1,1,1,180,,15,,Gas,211,
https://immovlan.be/en/detail/residence/for-sale/1820/steenokkerzeel/rbu99939,RBU99939,house,379000,686,1820,Steenokkerzeel,To be renovated,No,1930,2,1,,196,320,,,Gas,270,
https://immovlan.be/en/detail/apartment/for-sale/1640/sint-genesius-rode/rbu95136,RBU95136,apartment,375000,1398,1640,Sint-Genesius-Rode,Excellent,No,,2,1,1,96,,,,,120,
https://immovlan.be/en/detail/residence/for-sale/1570/tollembeek/rbv09996,RBV09996,house,369000,,1570,Tollembeek,New,No,,3,1,2,156,331,,,,,
https://immovlan.be/en/detail/residence/for-sale/1570/tollembeek/rbv09995,RBV09995,house,389000,,1570,Tollembeek,New,No,,3,1,2,156,759,,,,,
https://immovlan.be/en/detail/residence/for-sale/3018/wijgmaal/rbv09968,RBV09968,house,590000,1186,3018,Wijgmaal,New,No,2018,3,1,2,187,465,,,Electricity,10,
https://immovlan.be/en/detail/apartment/for-sale/1930/zaventem/rbv09942,RBV09942,apartment,370000,,1930,Zaventem,,,,2,1,1,104,,10,,Gas,90,
https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv09933,RBV09933,house,,875,1500,Halle,To renovate,,1973,2,1,,151,278,,165,Gas,442,
https://immovlan.be/en/detail/residence/for-sale/3461/molenbeek-wersbeek/rbv09858,RBV09858,house,389000,,3461,Molenbeek-Wersbeek,New,No,2025,3,,2,172,456,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1785/merchtem/rbv09796,RBV09796,apartment,274000,854,1785,Merchtem,Normal,No,2001,2,1,1,80,,,,Gas,110,
https://immovlan.be/en/detail/residence/for-sale/1780/wemmel/rbv09794,RBV09794,house,325000,642,1780,Wemmel,To be renovated,No,1918,4,1,2,159,216,,,Fuel oil,630,
https://immovlan.be/en/detail/residence/for-sale/1560/hoeilaart/rbv09792,RBV09792,house,300000,1982,1560,Hoeilaart,To be renovated,No,1910,2,1,,330,500,30,100,Gas,,
https://immovlan.be/en/detail/residence/for-sale/1601/ruisbroek/rbv09776,RBV09776,house,195000,588,1601,Ruisbroek,To be renovated,,,4,1,,95,193,,,Gas,552,
https://immovlan.be/en/detail/residence/for-sale/1703/schepdaal/rbv09773,RBV09773,house,349000,466,1703,Schepdaal,Normal,,1946,3,1,,203,132,14,,Gas,103,
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd77220,VBD77220,apartment,290000,,1300,Wavre,,No,,2,1,1,80,,24,,,186,
